,,Zoom ,,Nike,,FIS,,American Air
,Date,Close,Date,Close,Date,Close,Date,Close
,4/18/2019 16:00:00,62,1/2/2019 16:00:00,74.06,1/2/2019 16:00:00,101.43,1/2/2019 16:00:00,32.48
,4/22/2019 16:00:00,65.7,1/3/2019 16:00:00,72.75,1/3/2019 16:00:00,98.31,1/3/2019 16:00:00,30.06
,4/23/2019 16:00:00,69,1/4/2019 16:00:00,74.65,1/4/2019 16:00:00,101.78,1/4/2019 16:00:00,32.04
,4/24/2019 16:00:00,63.2,1/7/2019 16:00:00,75.72,1/7/2019 16:00:00,102.42,1/7/2019 16:00:00,32.95
,4/25/2019 16:00:00,65,1/8/2019 16:00:00,76.73,1/8/2019 16:00:00,103.19,1/8/2019 16:00:00,32.42
,4/26/2019 16:00:00,66.22,1/9/2019 16:00:00,76.59,1/9/2019 16:00:00,102.7,1/9/2019 16:00:00,33.42
,4/29/2019 16:00:00,68.17,1/10/2019 16:00:00,76.42,1/10/2019 16:00:00,103.83,1/10/2019 16:00:00,32.04
,4/30/2019 16:00:00,72.47,1/11/2019 16:00:00,76.04,1/11/2019 16:00:00,103.53,1/11/2019 16:00:00,31.8
,5/1/2019 16:00:00,72.76,1/14/2019 16:00:00,76.09,1/14/2019 16:00:00,103.66,1/14/2019 16:00:00,31.71
,5/2/2019 16:00:00,75.5,1/15/2019 16:00:00,77.88,1/15/2019 16:00:00,104.71,1/15/2019 16:00:00,32.1
,5/3/2019 16:00:00,79.18,1/16/2019 16:00:00,77.68,1/16/2019 16:00:00,103.67,1/16/2019 16:00:00,32.84
,5/6/2019 16:00:00,78.24,1/17/2019 16:00:00,79.13,1/17/2019 16:00:00,104.21,1/17/2019 16:00:00,33.58
,5/7/2019 16:00:00,73.33,1/18/2019 16:00:00,80.45,1/18/2019 16:00:00,105.84,1/18/2019 16:00:00,33.97
,5/8/2019 16:00:00,77.68,1/22/2019 16:00:00,80.75,1/22/2019 16:00:00,105.34,1/22/2019 16:00:00,32.74
,5/9/2019 16:00:00,75.21,1/23/2019 16:00:00,80.5,1/23/2019 16:00:00,105.89,1/23/2019 16:00:00,31.65
,5/10/2019 16:00:00,79.63,1/24/2019 16:00:00,80.44,1/24/2019 16:00:00,105.16,1/24/2019 16:00:00,33.66
,5/13/2019 16:00:00,72.54,1/25/2019 16:00:00,80.61,1/25/2019 16:00:00,105.43,1/25/2019 16:00:00,34.98
,5/14/2019 16:00:00,73.14,1/28/2019 16:00:00,80.32,1/28/2019 16:00:00,104.29,1/28/2019 16:00:00,36.57
,5/15/2019 16:00:00,79.76,1/29/2019 16:00:00,80.22,1/29/2019 16:00:00,103.59,1/29/2019 16:00:00,36.29
,5/16/2019 16:00:00,83.4,1/30/2019 16:00:00,81.28,1/30/2019 16:00:00,105.52,1/30/2019 16:00:00,36.34
,5/17/2019 16:00:00,89.98,1/31/2019 16:00:00,81.88,1/31/2019 16:00:00,104.53,1/31/2019 16:00:00,35.77
,5/20/2019 16:00:00,84.67,2/1/2019 16:00:00,81.51,2/1/2019 16:00:00,107.2,2/1/2019 16:00:00,36.11
,5/21/2019 16:00:00,85.44,2/4/2019 16:00:00,81.99,2/4/2019 16:00:00,108.97,2/4/2019 16:00:00,36.78
,5/22/2019 16:00:00,82.43,2/5/2019 16:00:00,82.86,2/5/2019 16:00:00,109.9,2/5/2019 16:00:00,36.93
,5/23/2019 16:00:00,78.76,2/6/2019 16:00:00,82.71,2/6/2019 16:00:00,109.7,2/6/2019 16:00:00,36.76
,5/24/2019 16:00:00,76.25,2/7/2019 16:00:00,82.39,2/7/2019 16:00:00,108.67,2/7/2019 16:00:00,36.17
,5/28/2019 16:00:00,77.77,2/8/2019 16:00:00,82.36,2/8/2019 16:00:00,109,2/8/2019 16:00:00,36
,5/29/2019 16:00:00,75.77,2/11/2019 16:00:00,83.68,2/11/2019 16:00:00,109.1,2/11/2019 16:00:00,36.59
,5/30/2019 16:00:00,80.42,2/12/2019 16:00:00,84.71,2/12/2019 16:00:00,106.55,2/12/2019 16:00:00,35.75
,5/31/2019 16:00:00,79.73,2/13/2019 16:00:00,85.4,2/13/2019 16:00:00,106.79,2/13/2019 16:00:00,36.21
,6/3/2019 16:00:00,75.9,2/14/2019 16:00:00,84.68,2/14/2019 16:00:00,106.3,2/14/2019 16:00:00,36.11
,6/4/2019 16:00:00,78.74,2/15/2019 16:00:00,85.38,2/15/2019 16:00:00,108.93,2/15/2019 16:00:00,35.05
,6/5/2019 16:00:00,78.04,2/19/2019 16:00:00,84.57,2/19/2019 16:00:00,108.71,2/19/2019 16:00:00,35.47
,6/6/2019 16:00:00,79.43,2/20/2019 16:00:00,84.84,2/20/2019 16:00:00,107.06,2/20/2019 16:00:00,35.06
,6/7/2019 16:00:00,94.05,2/21/2019 16:00:00,83.95,2/21/2019 16:00:00,107.12,2/21/2019 16:00:00,34.98
,6/10/2019 16:00:00,102,2/22/2019 16:00:00,84.76,2/22/2019 16:00:00,107.09,2/22/2019 16:00:00,35.49
,6/11/2019 16:00:00,94.87,2/25/2019 16:00:00,85.17,2/25/2019 16:00:00,106.79,2/25/2019 16:00:00,35.9
,6/12/2019 16:00:00,102.77,2/26/2019 16:00:00,85.8,2/26/2019 16:00:00,106.81,2/26/2019 16:00:00,36.25
,6/13/2019 16:00:00,100.95,2/27/2019 16:00:00,86.17,2/27/2019 16:00:00,107.21,2/27/2019 16:00:00,35.69
,6/14/2019 16:00:00,100.29,2/28/2019 16:00:00,85.73,2/28/2019 16:00:00,108.15,2/28/2019 16:00:00,35.63
,6/17/2019 16:00:00,98.11,3/1/2019 16:00:00,87.16,3/1/2019 16:00:00,108.39,3/1/2019 16:00:00,34.64
,6/18/2019 16:00:00,99.64,3/4/2019 16:00:00,85.64,3/4/2019 16:00:00,107.32,3/4/2019 16:00:00,33.72
,6/19/2019 16:00:00,102.39,3/5/2019 16:00:00,85.44,3/5/2019 16:00:00,106.89,3/5/2019 16:00:00,33.23
,6/20/2019 16:00:00,102.3,3/6/2019 16:00:00,85.13,3/6/2019 16:00:00,106.6,3/6/2019 16:00:00,32.76
,6/21/2019 16:00:00,100.47,3/7/2019 16:00:00,85.26,3/7/2019 16:00:00,105.65,3/7/2019 16:00:00,32.22
,6/24/2019 16:00:00,89.41,3/8/2019 16:00:00,84.8,3/8/2019 16:00:00,105.71,3/8/2019 16:00:00,31.91
,6/25/2019 16:00:00,85.03,3/11/2019 16:00:00,85.82,3/11/2019 16:00:00,107.04,3/11/2019 16:00:00,32.05
,6/26/2019 16:00:00,86.33,3/12/2019 16:00:00,85.43,3/12/2019 16:00:00,107.37,3/12/2019 16:00:00,30.92
,6/27/2019 16:00:00,90.27,3/13/2019 16:00:00,85.93,3/13/2019 16:00:00,107.6,3/13/2019 16:00:00,31.84
,6/28/2019 16:00:00,88.79,3/14/2019 16:00:00,86.87,3/14/2019 16:00:00,107.78,3/14/2019 16:00:00,32.13
,7/1/2019 16:00:00,86.86,3/15/2019 16:00:00,86.8,3/15/2019 16:00:00,108.88,3/15/2019 16:00:00,31.43
,7/2/2019 16:00:00,85.13,3/18/2019 16:00:00,87.82,3/18/2019 16:00:00,108.12,3/18/2019 16:00:00,31.38
,7/3/2019 13:00:00,90.45,3/19/2019 16:00:00,87.69,3/19/2019 16:00:00,106.6,3/19/2019 16:00:00,31.59
,7/5/2019 16:00:00,91.88,3/20/2019 16:00:00,86.69,3/20/2019 16:00:00,106.75,3/20/2019 16:00:00,30.96
,7/8/2019 16:00:00,90.76,3/21/2019 16:00:00,88.01,3/21/2019 16:00:00,110.16,3/21/2019 16:00:00,31.45
,7/9/2019 16:00:00,90.93,3/22/2019 16:00:00,82.19,3/22/2019 16:00:00,110.41,3/22/2019 16:00:00,30.57
,7/10/2019 16:00:00,92.72,3/25/2019 16:00:00,82.33,3/25/2019 16:00:00,108.42,3/25/2019 16:00:00,30.21
,7/11/2019 16:00:00,91.4,3/26/2019 16:00:00,83.38,3/26/2019 16:00:00,109.91,3/26/2019 16:00:00,30.21
,7/12/2019 16:00:00,93.3,3/27/2019 16:00:00,83.09,3/27/2019 16:00:00,109.97,3/27/2019 16:00:00,30.94
,7/15/2019 16:00:00,99.8,3/28/2019 16:00:00,84.04,3/28/2019 16:00:00,111.18,3/28/2019 16:00:00,30.9
,7/16/2019 16:00:00,97.1,3/29/2019 16:00:00,84.21,3/29/2019 16:00:00,113.1,3/29/2019 16:00:00,31.76
,7/17/2019 16:00:00,99.73,4/1/2019 16:00:00,85.23,4/1/2019 16:00:00,113.78,4/1/2019 16:00:00,32.35
,7/18/2019 16:00:00,95.19,4/2/2019 16:00:00,84.37,4/2/2019 16:00:00,114.12,4/2/2019 16:00:00,32.99
,7/19/2019 16:00:00,93.38,4/3/2019 16:00:00,84.47,4/3/2019 16:00:00,114.93,4/3/2019 16:00:00,33.71
,7/22/2019 16:00:00,96.67,4/4/2019 16:00:00,85.28,4/4/2019 16:00:00,114.03,4/4/2019 16:00:00,33.93
,7/23/2019 16:00:00,97.39,4/5/2019 16:00:00,85.4,4/5/2019 16:00:00,113.39,4/5/2019 16:00:00,34.06
,7/24/2019 16:00:00,95.94,4/8/2019 16:00:00,84.73,4/8/2019 16:00:00,113.65,4/8/2019 16:00:00,33.88
,7/25/2019 16:00:00,97.11,4/9/2019 16:00:00,84.28,4/9/2019 16:00:00,113.76,4/9/2019 16:00:00,33.31
,7/26/2019 16:00:00,102.2,4/10/2019 16:00:00,84.88,4/10/2019 16:00:00,112.38,4/10/2019 16:00:00,34.02
,7/29/2019 16:00:00,96.47,4/11/2019 16:00:00,85,4/11/2019 16:00:00,112.9,4/11/2019 16:00:00,34.81
,7/30/2019 16:00:00,95.49,4/12/2019 16:00:00,86.24,4/12/2019 16:00:00,113.16,4/12/2019 16:00:00,34.69
,7/31/2019 16:00:00,95.51,4/15/2019 16:00:00,86.83,4/15/2019 16:00:00,113.14,4/15/2019 16:00:00,33.75
,8/1/2019 16:00:00,95.1,4/16/2019 16:00:00,87.8,4/16/2019 16:00:00,111.58,4/16/2019 16:00:00,34.03
,8/2/2019 16:00:00,93.66,4/17/2019 16:00:00,88.73,4/17/2019 16:00:00,111.1,4/17/2019 16:00:00,34.38
,8/5/2019 16:00:00,89.69,4/18/2019 16:00:00,89.2,4/18/2019 16:00:00,110.89,4/18/2019 16:00:00,34.37
,8/6/2019 16:00:00,90.43,4/22/2019 16:00:00,87.36,4/22/2019 16:00:00,112.21,4/22/2019 16:00:00,33.48
,8/7/2019 16:00:00,92.45,4/23/2019 16:00:00,87.43,4/23/2019 16:00:00,112.8,4/23/2019 16:00:00,33.97
,8/8/2019 16:00:00,95.77,4/24/2019 16:00:00,88.39,4/24/2019 16:00:00,112.04,4/24/2019 16:00:00,33.99
,8/9/2019 16:00:00,94.2,4/25/2019 16:00:00,87.56,4/25/2019 16:00:00,111.55,4/25/2019 16:00:00,33.41
,8/12/2019 16:00:00,92.16,4/26/2019 16:00:00,88.31,4/26/2019 16:00:00,110.9,4/26/2019 16:00:00,33.06
,8/13/2019 16:00:00,95.45,4/29/2019 16:00:00,88.26,4/29/2019 16:00:00,111.54,4/29/2019 16:00:00,33.77
,8/14/2019 16:00:00,92.65,4/30/2019 16:00:00,87.83,4/30/2019 16:00:00,115.93,4/30/2019 16:00:00,34.18
,8/15/2019 16:00:00,90.64,5/1/2019 16:00:00,85.9,5/1/2019 16:00:00,115.22,5/1/2019 16:00:00,33.91
,8/16/2019 16:00:00,92.53,5/2/2019 16:00:00,85.27,5/2/2019 16:00:00,117.8,5/2/2019 16:00:00,33.95
,8/19/2019 16:00:00,93.17,5/3/2019 16:00:00,85.7,5/3/2019 16:00:00,117.76,5/3/2019 16:00:00,34.79
,8/20/2019 16:00:00,91.41,5/6/2019 16:00:00,83.57,5/6/2019 16:00:00,117.32,5/6/2019 16:00:00,34.75
,8/21/2019 16:00:00,93.01,5/7/2019 16:00:00,82.54,5/7/2019 16:00:00,115.89,5/7/2019 16:00:00,33.91
,8/22/2019 16:00:00,93.87,5/8/2019 16:00:00,82.77,5/8/2019 16:00:00,116.14,5/8/2019 16:00:00,33.75
,8/23/2019 16:00:00,91.63,5/9/2019 16:00:00,82.98,5/9/2019 16:00:00,115.87,5/9/2019 16:00:00,33.95
,8/26/2019 16:00:00,91.76,5/10/2019 16:00:00,83.95,5/10/2019 16:00:00,116.72,5/10/2019 16:00:00,33.99
,8/27/2019 16:00:00,91.73,5/13/2019 16:00:00,82.53,5/13/2019 16:00:00,115.45,5/13/2019 16:00:00,32.14
,8/28/2019 16:00:00,90.16,5/14/2019 16:00:00,83.67,5/14/2019 16:00:00,116.92,5/14/2019 16:00:00,32.34
,8/29/2019 16:00:00,90.87,5/15/2019 16:00:00,84.01,5/15/2019 16:00:00,117.25,5/15/2019 16:00:00,32.16
,8/30/2019 16:00:00,91.67,5/16/2019 16:00:00,84.28,5/16/2019 16:00:00,119.1,5/16/2019 16:00:00,32.32
,9/3/2019 16:00:00,92.46,5/17/2019 16:00:00,84.57,5/17/2019 16:00:00,118.73,5/17/2019 16:00:00,31.74
,9/4/2019 16:00:00,93.53,5/20/2019 16:00:00,82.85,5/20/2019 16:00:00,118.32,5/20/2019 16:00:00,30.96
,9/5/2019 16:00:00,92.69,5/21/2019 16:00:00,83.64,5/21/2019 16:00:00,120.41,5/21/2019 16:00:00,31.3
,9/6/2019 16:00:00,85.41,5/22/2019 16:00:00,83.2,5/22/2019 16:00:00,121,5/22/2019 16:00:00,29.92
,9/9/2019 16:00:00,78.65,5/23/2019 16:00:00,82.64,5/23/2019 16:00:00,120.41,5/23/2019 16:00:00,29.5
,9/10/2019 16:00:00,80.35,5/24/2019 16:00:00,82.16,5/24/2019 16:00:00,118.74,5/24/2019 16:00:00,29.17
,9/11/2019 16:00:00,80.71,5/28/2019 16:00:00,81.2,5/28/2019 16:00:00,119.35,5/28/2019 16:00:00,28.73
,9/12/2019 16:00:00,81.53,5/29/2019 16:00:00,78.87,5/29/2019 16:00:00,119.07,5/29/2019 16:00:00,28.41
,9/13/2019 16:00:00,78.85,5/30/2019 16:00:00,79.26,5/30/2019 16:00:00,119.55,5/30/2019 16:00:00,28.17
,9/16/2019 16:00:00,80.67,5/31/2019 16:00:00,77.14,5/31/2019 16:00:00,120.3,5/31/2019 16:00:00,27.23
,9/17/2019 16:00:00,84.64,6/3/2019 16:00:00,77.96,6/3/2019 16:00:00,116.57,6/3/2019 16:00:00,27.2
,9/18/2019 16:00:00,84.55,6/4/2019 16:00:00,81.62,6/4/2019 16:00:00,120.24,6/4/2019 16:00:00,29.12
,9/19/2019 16:00:00,84.62,6/5/2019 16:00:00,82.72,6/5/2019 16:00:00,121.79,6/5/2019 16:00:00,30.36
,9/20/2019 16:00:00,82.63,6/6/2019 16:00:00,82.45,6/6/2019 16:00:00,121.57,6/6/2019 16:00:00,30.38
,9/23/2019 16:00:00,82.62,6/7/2019 16:00:00,83.41,6/7/2019 16:00:00,122.54,6/7/2019 16:00:00,30.92
,9/24/2019 16:00:00,80.02,6/10/2019 16:00:00,82.58,6/10/2019 16:00:00,122.29,6/10/2019 16:00:00,30.76
,9/25/2019 16:00:00,79.6,6/11/2019 16:00:00,83.26,6/11/2019 16:00:00,121.69,6/11/2019 16:00:00,30.58
,9/26/2019 16:00:00,79.75,6/12/2019 16:00:00,82.63,6/12/2019 16:00:00,120.95,6/12/2019 16:00:00,31.1
,9/27/2019 16:00:00,76.04,6/13/2019 16:00:00,83.61,6/13/2019 16:00:00,120.84,6/13/2019 16:00:00,33.09
,9/30/2019 16:00:00,76.2,6/14/2019 16:00:00,83.44,6/14/2019 16:00:00,121.4,6/14/2019 16:00:00,32.68
,10/1/2019 16:00:00,75.81,6/17/2019 16:00:00,82.11,6/17/2019 16:00:00,121.53,6/17/2019 16:00:00,32.56
,10/2/2019 16:00:00,73.85,6/18/2019 16:00:00,84.3,6/18/2019 16:00:00,122.62,6/18/2019 16:00:00,32.52
,10/3/2019 16:00:00,76.83,6/19/2019 16:00:00,83.55,6/19/2019 16:00:00,123.29,6/19/2019 16:00:00,33.21
,10/4/2019 16:00:00,76.53,6/20/2019 16:00:00,85.24,6/20/2019 16:00:00,123.88,6/20/2019 16:00:00,32.15
,10/7/2019 16:00:00,76.99,6/21/2019 16:00:00,85.75,6/21/2019 16:00:00,122.7,6/21/2019 16:00:00,31.57
,10/8/2019 16:00:00,73.59,6/24/2019 16:00:00,84.5,6/24/2019 16:00:00,121.22,6/24/2019 16:00:00,31.82
,10/9/2019 16:00:00,72.86,6/25/2019 16:00:00,82.62,6/25/2019 16:00:00,121.26,6/25/2019 16:00:00,31.26
,10/10/2019 16:00:00,71.01,6/26/2019 16:00:00,82.55,6/26/2019 16:00:00,121.27,6/26/2019 16:00:00,31.46
,10/11/2019 16:00:00,71.35,6/27/2019 16:00:00,83.66,6/27/2019 16:00:00,121.34,6/27/2019 16:00:00,32.15
,10/14/2019 16:00:00,70.8,6/28/2019 16:00:00,83.95,6/28/2019 16:00:00,122.68,6/28/2019 16:00:00,32.61
,10/15/2019 16:00:00,71.11,7/1/2019 16:00:00,85.41,7/1/2019 16:00:00,124.57,7/1/2019 16:00:00,32.88
,10/16/2019 16:00:00,67.69,7/2/2019 16:00:00,84.96,7/2/2019 16:00:00,124.91,7/2/2019 16:00:00,32.19
,10/17/2019 16:00:00,67.03,7/3/2019 13:00:00,86.2,7/3/2019 13:00:00,126.62,7/3/2019 13:00:00,32.72
,10/18/2019 16:00:00,66.08,7/5/2019 16:00:00,86.82,7/5/2019 16:00:00,126.8,7/5/2019 16:00:00,32.46
,10/21/2019 16:00:00,65.77,7/8/2019 16:00:00,88.48,7/8/2019 16:00:00,126.83,7/8/2019 16:00:00,32.79
,10/22/2019 16:00:00,62,7/9/2019 16:00:00,88.04,7/9/2019 16:00:00,127,7/9/2019 16:00:00,32.36
,10/23/2019 16:00:00,62.06,7/10/2019 16:00:00,87.44,7/10/2019 16:00:00,126.92,7/10/2019 16:00:00,32.94
,10/24/2019 16:00:00,64.52,7/11/2019 16:00:00,88.29,7/11/2019 16:00:00,127.82,7/11/2019 16:00:00,33.03
,10/25/2019 16:00:00,63.45,7/12/2019 16:00:00,89.12,7/12/2019 16:00:00,129.36,7/12/2019 16:00:00,33.78
,10/28/2019 16:00:00,66.56,7/15/2019 16:00:00,89.48,7/15/2019 16:00:00,130.36,7/15/2019 16:00:00,33.61
,10/29/2019 16:00:00,65.49,7/16/2019 16:00:00,88.6,7/16/2019 16:00:00,129.71,7/16/2019 16:00:00,34.22
,10/30/2019 16:00:00,70,7/17/2019 16:00:00,87.5,7/17/2019 16:00:00,130.6,7/17/2019 16:00:00,33.26
,10/31/2019 16:00:00,69.89,7/18/2019 16:00:00,87.44,7/18/2019 16:00:00,131.33,7/18/2019 16:00:00,33.74
,11/1/2019 16:00:00,70.39,7/19/2019 16:00:00,86.55,7/19/2019 16:00:00,129.74,7/19/2019 16:00:00,33.08
